user,language,anger,bitter,fear,joy,peace,power,sad,surprise,tender,tension,transcendence,excerpt,emotion,quadrant,preference,pref_enc,familiarity,fam_enc,understanding,und_enc,mus_train,mus_train_encod,emotions,emotions_enc,mus_soph,mus_soph_enc
53,spanish,1,1,1,1,1,1,1,3,2,1,1,joy_2,joy,q1_a_pos_v_pos,2,0,2,0,2,0,14,0,31,0,51,0
54,spanish,1,1,1,5,3,4,1,5,4,1,3,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,9,0,40,1,65,0
55,spanish,1,1,1,5,3,5,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,5,1,22,0,37,1,78,0
56,spanish,1,1,1,5,2,3,1,3,3,2,1,joy_2,joy,q1_a_pos_v_pos,3, ,2,0,5,1,18,0,38,1,83,1
57,spanish,1,1,1,5,1,2,1,1,1,2,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,38,1,42,1,111,1
58,spanish,1,1,1,5,1,5,1,1,4,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,21,0,37,1,60,0
59,spanish,1,2,2,4,2,4,2,3,3,3,3,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,40,1,32,0,113,1
60,spanish,1,1,1,5,3,4,1,5,5,1,4,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,9,0,35,1,48,0
61,spanish,2,2,2,4,2,4,1,4,4,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,12,0,37,1,67,0
62,spanish,1,1,1,4,1,2,1,5,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,26,0,31,0,77,0
63,spanish,2,2,2,4,4,3,1,1,4,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,11,0,26,0,52,0
64,spanish,1,1,1,5,1,1,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,2,0,1,0,28,1,38,1,68,0
65,spanish,1,1,1,5,2,5,1,3,2,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,26,0,39,1,97,1
66,spanish,1,1,1,5,4,3,1,3,4,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,11,0,35,1,47,0
67,spanish,1,1,1,5,3,4,1,5,2,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,4,1,17,0,37,1,59,0
68,spanish,1,1,1,5,1,4,1,3,1,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,41,1,35,1,106,1
69,spanish,1,1,1,4,3,4,2,2,2,2,2,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,1,0,9,0,37,1,57,0
70,spanish,1,1,1,5,3,5,1,4,1,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,13,0,39,1,79,0
71,spanish,1,1,1,5,4,4,2,5,1,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,36,1,39,1,101,1
72,spanish,1,1,1,5,5,1,1,5,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,4,1,43,1,40,1,107,1
73,spanish,2,2,2,5,2,5,1,4,3,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,34,1,33,0,87,1
74,spanish,1,1,1,5,2,3,1,4,2,2,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,3, ,15,0,31,0,64,0
75,spanish,1,1,1,5,2,4,1,4,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,46,1,37,1,106,1
76,spanish,1,1,1,5,3,4,1,4,3,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,19,0,35,1,65,0
77,spanish,1,1,1,5,1,5,1,4,3,5,4,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,11,0,33,0,46,0
78,spanish,1,1,1,5,1,5,1,1,5,1,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,11,0,39,1,66,0
79,spanish,1,1,1,4,3,2,1,3,3,1,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,18,0,35,1,67,0
80,spanish,1,1,1,5,3,4,2,2,2,2,3,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,1,0,25,0,36,1,96,1
81,spanish,1,1,1,5,1,4,1,1,4,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,7,0,23,0,54,0
82,mandarin,1,1,1,5,1,5,1,1,1,1,2,joy_2,joy,q1_a_pos_v_pos,5,1,1,0,4,1,45,1,40,1,113,1
83,mandarin,1,1,1,5,4,3,1,1,4,1,1,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,3, ,22,0,36,1,80,0
84,mandarin,2,2,1,5,3,4,1,4,3,4,3,joy_2,joy,q1_a_pos_v_pos,5,1,1,0,1,0,14,0,34,0,86,1
85,mandarin,1,1,1,5,4,5,1,1,2,1,3,joy_2,joy,q1_a_pos_v_pos,5,1,1,0,2,0,20,0,26,0,64,0
86,mandarin,1,1,1,5,3,3,1,3,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,1,0,10,0,34,0,71,0
87,mandarin,3,3,3,4,2,4,3,4,3,3,4,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,3, ,17,0,25,0,68,0
88,mandarin,1,1,1,4,2,2,2,3,3,2,2,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,1,0,22,0,29,0,83,1
89,mandarin,2,1,1,5,1,5,1,1,3,1,4,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,24,0,36,1,93,1
90,mandarin,1,1,1,5,4,4,1,1,4,1,4,joy_2,joy,q1_a_pos_v_pos,2,0,1,0,4,1,17,0,27,0,52,0
91,mandarin,1,1,1,5,2,3,1,3,2,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,5,1,16,0,38,1,77,0
92,mandarin,2,1,1,3,1,5,1,4,1,4,1,joy_2,joy,q1_a_pos_v_pos,1,0,1,0,4,1,23,0,36,1,98,1
93,mandarin,1,2,2,4,4,4,3,2,2,2,3,joy_2,joy,q1_a_pos_v_pos,1,0,1,0,4,1,10,0,29,0,56,0
94,mandarin,1,1,1,5,4,4,2,2,2,2,2,joy_2,joy,q1_a_pos_v_pos,4,1,2,0,2,0,41,1,42,1,106,1
95,mandarin,1,1,2,5,2,5,3,4,2,3,2,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,5,1,20,0,35,1,94,1
96,mandarin,3,2,2,4,3,4,2,4,2,4,3,joy_2,joy,q1_a_pos_v_pos,5,1,4,1,5,1,24,0,32,0,77,0
97,mandarin,2,2,2,4,2,4,1,4,2,2,2,joy_2,joy,q1_a_pos_v_pos,2,0,1,0,4,1,26,0,34,0,90,1
98,mandarin,3,3,3,4,4,4,3,2,3,3,2,joy_2,joy,q1_a_pos_v_pos,4,1,2,0,4,1,13,0,20,0,52,0
99,mandarin,1,1,1,4,1,1,1,1,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,31,1,40,1,94,1
100,mandarin,3,1,2,3,2,5,1,1,1,3,2,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,1,0,30,1,39,1,104,1
101,mandarin,1,1,1,1,1,1,1,1,1,4,1,joy_2,joy,q1_a_pos_v_pos,1,0,1,0,1,0,41,1,37,1,106,1
102,mandarin,1,1,1,3,3,1,1,1,1,3,1,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,4,1,17,0,26,0,70,0
103,mandarin,2,2,2,4,3,3,2,4,2,4,2,joy_2,joy,q1_a_pos_v_pos,2,0,1,0,2,0,25,0,34,0,75,0
104,mandarin,1,1,1,5,1,3,1,4,1,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,24,0,38,1,93,1
105,mandarin,1,3,3,4,1,3,1,3,1,4,1,joy_2,joy,q1_a_pos_v_pos,3, ,1,0,5,1,18,0,29,0,79,0
106,mandarin,1,1,1,5,5,5,1,4,4,4,1,joy_2,joy,q1_a_pos_v_pos,5,1,1,0,3, ,41,1,42,1,115,1
107,mandarin,1,1,1,4,1,4,1,4,1,3,1,joy_2,joy,q1_a_pos_v_pos,2,0,1,0,5,1,23,0,37,1,65,0
108,mandarin,2,2,2,4,3,4,3,4,3,4,3,joy_2,joy,q1_a_pos_v_pos,4,1,2,0,3, ,22,0,34,0,74,0
109,german,1,1,1,5,3,2,1,2,2,1,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,23,0,32,0,54,0
110,german,1,1,1,5,1,4,1,4,2,5,2,joy_2,joy,q1_a_pos_v_pos,2,0,4,1,4,1,37,1,39,1,112,1
111,german,2,2,2,5,4,2,2,2,3,2,3,joy_2,joy,q1_a_pos_v_pos,1,0,4,1,3, ,19,0,33,0,76,0
112,german,1,1,1,5,1,4,1,4,1,3,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,43,1,39,1,101,1
113,german,1,1,1,4,3,3,1,4,4,3,2,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,8,0,35,1,43,0
114,german,1,1,1,5,2,3,1,1,3,2,1,joy_2,joy,q1_a_pos_v_pos,3, ,5,1,4,1,37,1,39,1,118,1
115,german,1,2,2,3,2,4,3,4,2,4,2,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,4,1,39,1,36,1,104,1
116,german,1,1,1,5,3,1,1,4,4,4,4,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,3, ,40,1,36,1,90,1
117,german,2,2,1,5,3,4,3,3,2,3,2,joy_2,joy,q1_a_pos_v_pos,2,0,4,1,3, ,39,1,36,1,114,1
118,german,1,3,3,2,2,5,3,3,3,4,3,joy_2,joy,q1_a_pos_v_pos,1,0,2,0,2,0,39,1,28,0,79,0
119,german,1,1,1,5,4,2,1,4,3,2,3,joy_2,joy,q1_a_pos_v_pos,4,1,1,0,4,1,36,1,36,1,90,1
120,german,2,1,1,5,2,3,1,3,4,4,2,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,3, ,32,1,36,1,92,1
121,german,1,1,1,5,1,4,1,5,4,4,1,joy_2,joy,q1_a_pos_v_pos,5,1,5,1,5,1,17,0,32,0,44,0
122,german,1,1,2,5,4,3,1,3,2,3,3,joy_2,joy,q1_a_pos_v_pos,4,1,4,1,2,0,14,0,30,0,78,0
123,german,1,1,1,4,4,1,1,1,2,3,1,joy_2,joy,q1_a_pos_v_pos,1,0,5,1,3, ,35,1,40,1,113,1
124,german,1,1,1,5,5,1,1,4,2,2,1,joy_2,joy,q1_a_pos_v_pos,4,1,5,1,5,1,23,0,21,0,56,0
125,german,1,1,1,5,3,2,1,4,2,3,1,joy_2,joy,q1_a_pos_v_pos,2,0,5,1,3, ,40,1,31,0,97,1
0,english,1,2,1,4,3,4,1,4,3,3,2,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,32,1,39,1,96,1
1,english,1,1,1,4,4,3,3,3,4,3,4,power_1,power,q1_a_pos_v_pos,4,1,4,1,4,1,7,0,34,0,78,0
2,english,3,4,2,3,1,5,3,2,2,2,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,4,1,13,0,11,0,67,0
3,english,4,4,3,2,1,2,3,2,2,3,1,power_1,power,q1_a_pos_v_pos,3, ,2,0,4,1,9,0,17,0,39,0
4,english,5,5,3,1,1,4,1,1,1,4,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,2,0,10,0,28,0,42,0
5,english,1,1,1,3,2,3,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,40,1,42,1,88,1
6,english,3,3,2,4,2,4,2,2,2,4,4,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,30,1,31,0,78,0
7,english,3,2,4,3,3,2,4,3,3,2,4,power_1,power,q1_a_pos_v_pos,3, ,3, ,4,1,44,1,42,1,119,1
8,english,1,1,1,4,2,3,1,3,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,45,1,36,1,110,1
9,english,1,1,1,4,2,4,1,1,1,4,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,45,1,42,1,113,1
10,english,3,3,3,3,3,3,3,3,3,3,3,power_1,power,q1_a_pos_v_pos,3, ,3, ,3, ,21,0,25,0,66,0
11,english,4,4,4,2,1,4,4,2,2,4,1,power_1,power,q1_a_pos_v_pos,2,0,2,0,4,1,27,1,37,1,84,1
12,english,2,2,2,2,2,2,2,2,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,34,1,39,1,94,1
13,english,1,1,1,4,1,3,1,2,1,2,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,37,1,31,0,89,1
14,english,2,2,1,2,1,2,1,2,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,25,0,37,1,82,1
15,english,3,3,2,2,2,4,2,2,2,2,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,2,0,19,0,31,0,69,0
16,english,2,2,2,3,4,3,2,2,4,3,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,5,1,41,1,40,1,109,1
17,english,3,3,3,4,3,4,2,3,4,4,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,32,1,36,1,68,0
18,english,2,4,2,3,2,3,3,2,1,2,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,41,1,38,1,113,1
19,english,2,2,2,4,1,5,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,4,1,5,1,5,1,44,1,41,1,118,1
20,english,1,1,1,4,2,3,1,3,4,2,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,33,1,40,1,102,1
21,english,4,4,2,4,2,2,4,3,1,2,1,power_1,power,q1_a_pos_v_pos,3, ,3, ,4,1,15,0,37,1,59,0
22,english,2,2,2,4,2,3,2,2,3,2,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,43,1,38,1,111,1
23,english,2,2,4,2,2,4,4,2,2,4,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,32,1,30,0,80,0
24,english,1,1,1,4,2,4,1,1,2,2,1,power_1,power,q1_a_pos_v_pos,2,0,1,0,2,0,7,0,28,0,40,0
25,english,1,2,2,4,2,3,1,1,3,3,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,34,1,34,0,85,1
26,spanish,3,3,2,4,2,4,1,2,2,3,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,43,1,36,1,99,1
27,spanish,2,2,1,5,3,4,1,3,1,1,3,power_1,power,q1_a_pos_v_pos,4,1,2,0,3, ,42,1,36,1,102,1
28,spanish,1,1,1,4,1,4,1,4,1,1,1,power_1,power,q1_a_pos_v_pos,4,1,2,0,4,1,35,1,37,1,103,1
29,spanish,2,2,1,5,1,4,1,1,1,1,4,power_1,power,q1_a_pos_v_pos,4,1,1,0,2,0,24,0,38,1,95,1
30,spanish,1,1,1,4,4,4,2,3,3,2,4,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,16,0,28,0,62,0
31,spanish,1,1,1,1,4,1,1,1,4,1,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,21,0,34,0,62,0
32,spanish,2,3,1,4,2,4,4,3,3,3,3,power_1,power,q1_a_pos_v_pos,3, ,2,0,4,1,37,1,37,1,96,1
33,spanish,1,1,1,4,3,5,1,5,3,2,4,power_1,power,q1_a_pos_v_pos,4,1,1,0,2,0,14,0,38,1,70,0
34,spanish,1,2,1,4,3,3,2,2,3,2,2,power_1,power,q1_a_pos_v_pos,4,1,2,0,4,1,43,1,36,1,107,1
35,spanish,2,2,2,2,2,4,3,2,2,2,2,power_1,power,q1_a_pos_v_pos,2,0,2,0,2,0,19,0,28,0,71,0
36,spanish,4,4,2,2,2,4,4,2,2,4,2,power_1,power,q1_a_pos_v_pos,2,0,2,0,4,1,31,1,35,1,87,1
37,spanish,1,1,1,3,1,1,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,16,0,29,0,60,0
38,spanish,4,4,1,4,3,2,4,1,3,1,2,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,20,0,34,0,64,0
39,spanish,2,2,1,3,2,3,2,1,2,3,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,7,0,20,0,33,0
40,spanish,1,1,1,4,3,2,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,43,1,41,1,87,1
41,spanish,1,2,2,4,3,4,2,4,2,3,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,5,1,36,1,33,0,83,1
42,spanish,2,2,1,3,3,2,4,4,2,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,28,1,32,0,73,0
43,spanish,2,3,2,3,2,3,3,3,4,3,2,power_1,power,q1_a_pos_v_pos,2,0,2,0,2,0,18,0,29,0,59,0
44,spanish,1,1,1,4,2,4,1,1,2,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,35,1,41,1,97,1
45,spanish,1,1,1,4,1,5,1,3,2,2,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,2,0,11,0,35,1,59,0
46,spanish,1,1,1,2,3,3,1,1,1,2,3,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,32,1,34,0,89,1
47,spanish,1,1,1,4,4,2,2,4,4,2,4,power_1,power,q1_a_pos_v_pos,4,1,2,0,1,0,25,0,30,0,78,0
48,spanish,2,2,2,3,2,4,3,4,2,4,3,power_1,power,q1_a_pos_v_pos,4,1,3, ,3, ,30,1,36,1,72,0
49,spanish,1,4,2,2,1,1,4,3,2,4,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,36,1,39,1,95,1
50,spanish,1,1,1,4,3,1,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,45,1,42,1,108,1
51,spanish,4,4,4,1,3,1,5,5,5,5,4,power_1,power,q1_a_pos_v_pos,1,0,1,0,3, ,16,0,38,1,74,0
52,spanish,1,2,1,5,4,2,1,3,2,1,1,power_1,power,q1_a_pos_v_pos,5,1,1,0,5,1,22,0,36,1,99,1
53,spanish,1,1,1,1,1,1,1,1,1,4,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,14,0,31,0,51,0
54,spanish,2,2,2,4,2,3,2,2,2,2,2,power_1,power,q1_a_pos_v_pos,2,0,2,0,2,0,9,0,40,1,65,0
55,spanish,2,1,1,3,1,1,1,1,1,2,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,3, ,22,0,37,1,78,0
56,spanish,1,1,1,2,3,4,2,3,3,2,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,5,1,18,0,38,1,83,1
57,spanish,1,1,1,3,1,1,1,1,2,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,5,1,38,1,42,1,111,1
58,spanish,4,3,2,2,1,4,3,1,3,4,4,power_1,power,q1_a_pos_v_pos,2,0,1,0,3, ,21,0,37,1,60,0
59,spanish,2,2,2,2,2,3,2,4,4,2,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,40,1,32,0,113,1
60,spanish,4,4,4,4,3,4,3,4,2,4,4,power_1,power,q1_a_pos_v_pos,4,1,2,0,3, ,9,0,35,1,48,0
61,spanish,2,2,2,2,4,2,2,2,2,2,2,power_1,power,q1_a_pos_v_pos,1,0,1,0,4,1,12,0,37,1,67,0
62,spanish,3,4,4,3,2,1,4,2,4,2,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,26,0,31,0,77,0
63,spanish,3,3,3,2,4,3,3,3,3,3,3,power_1,power,q1_a_pos_v_pos,2,0,2,0,4,1,11,0,26,0,52,0
64,spanish,1,1,1,3,1,1,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,28,1,38,1,68,0
65,spanish,1,1,1,3,2,3,1,2,2,2,2,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,26,0,39,1,97,1
66,spanish,2,2,2,4,3,4,2,2,4,1,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,2,0,11,0,35,1,47,0
67,spanish,2,2,2,4,3,4,1,4,2,1,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,17,0,37,1,59,0
68,spanish,1,1,1,4,1,3,2,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,41,1,35,1,106,1
69,spanish,2,2,2,5,4,3,2,2,4,1,2,power_1,power,q1_a_pos_v_pos,3, ,2,0,1,0,9,0,37,1,57,0
70,spanish,2,2,2,4,2,3,2,2,2,2,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,13,0,39,1,79,0
71,spanish,1,1,1,3,4,3,2,2,3,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,36,1,39,1,101,1
72,spanish,3,3,1,4,5,2,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,2,0,1,0,3, ,43,1,40,1,107,1
73,spanish,4,2,2,2,2,4,2,2,2,4,4,power_1,power,q1_a_pos_v_pos,3, ,2,0,2,0,34,1,33,0,87,1
74,spanish,1,1,1,2,1,4,2,2,1,3,3,power_1,power,q1_a_pos_v_pos,2,0,2,0,2,0,15,0,31,0,64,0
75,spanish,1,2,1,3,1,3,2,4,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,46,1,37,1,106,1
76,spanish,4,2,1,4,2,2,3,2,2,3,3,power_1,power,q1_a_pos_v_pos,2,0,2,0,5,1,19,0,35,1,65,0
77,spanish,4,4,2,2,2,4,5,2,4,4,4,power_1,power,q1_a_pos_v_pos,2,0,1,0,4,1,11,0,33,0,46,0
78,spanish,1,1,1,5,1,4,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,4,1,4,1,4,1,11,0,39,1,66,0
79,spanish,1,1,1,4,4,1,1,3,4,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,18,0,35,1,67,0
80,spanish,1,1,1,3,2,3,2,2,2,3,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,25,0,36,1,96,1
81,spanish,1,1,1,4,1,1,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,7,0,23,0,54,0
82,mandarin,1,1,1,5,2,5,1,3,3,4,3,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,45,1,40,1,113,1
83,mandarin,3,1,1,3,2,4,2,1,2,2,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,3, ,22,0,36,1,80,0
84,mandarin,4,2,2,4,2,2,2,4,2,2,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,14,0,34,0,86,1
85,mandarin,1,1,1,4,3,4,1,1,2,2,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,20,0,26,0,64,0
86,mandarin,1,1,1,4,3,5,3,1,1,1,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,10,0,34,0,71,0
87,mandarin,3,3,3,4,3,4,3,4,3,3,3,power_1,power,q1_a_pos_v_pos,3, ,3, ,3, ,17,0,25,0,68,0
88,mandarin,1,1,1,4,2,3,2,3,2,3,3,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,22,0,29,0,83,1
89,mandarin,3,4,3,4,2,5,2,3,2,3,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,24,0,36,1,93,1
90,mandarin,2,3,1,4,3,4,4,1,4,1,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,2,0,17,0,27,0,52,0
91,mandarin,2,2,2,4,2,4,1,2,2,2,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,16,0,38,1,77,0
92,mandarin,1,4,2,4,2,4,1,2,1,4,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,23,0,36,1,98,1
93,mandarin,4,4,3,3,2,4,4,3,4,3,3,power_1,power,q1_a_pos_v_pos,4,1,1,0,2,0,10,0,29,0,56,0
94,mandarin,2,3,1,4,3,3,2,4,2,2,4,power_1,power,q1_a_pos_v_pos,4,1,2,0,2,0,41,1,42,1,106,1
95,mandarin,2,2,2,4,3,5,2,1,4,4,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,20,0,35,1,94,1
96,mandarin,1,2,2,1,3,4,4,2,4,4,1,power_1,power,q1_a_pos_v_pos,3, ,2,0,4,1,24,0,32,0,77,0
97,mandarin,3,4,3,3,2,3,2,3,2,4,2,power_1,power,q1_a_pos_v_pos,1,0,2,0,4,1,26,0,34,0,90,1
98,mandarin,1,1,1,5,3,3,3,3,3,3,5,power_1,power,q1_a_pos_v_pos,5,1,3, ,3, ,13,0,20,0,52,0
99,mandarin,1,1,1,4,1,4,1,1,1,1,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,31,1,40,1,94,1
100,mandarin,3,3,1,4,4,5,2,1,4,2,5,power_1,power,q1_a_pos_v_pos,2,0,1,0,1,0,30,1,39,1,104,1
101,mandarin,1,1,1,1,1,5,1,4,1,1,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,41,1,37,1,106,1
102,mandarin,1,1,1,4,3,4,1,1,3,1,4,power_1,power,q1_a_pos_v_pos,4,1,1,0,4,1,17,0,26,0,70,0
103,mandarin,3,2,2,4,3,4,2,4,3,3,2,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,25,0,34,0,75,0
104,mandarin,2,1,1,4,3,4,1,2,1,1,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,3, ,24,0,38,1,93,1
105,mandarin,1,3,3,4,1,4,2,4,2,3,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,3, ,18,0,29,0,79,0
106,mandarin,1,1,1,5,5,5,1,5,5,5,5,power_1,power,q1_a_pos_v_pos,5,1,1,0,4,1,41,1,42,1,115,1
107,mandarin,1,1,1,4,1,4,1,3,1,3,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,1,0,23,0,37,1,65,0
108,mandarin,3,3,4,5,4,4,2,4,3,4,3,power_1,power,q1_a_pos_v_pos,3, ,1,0,1,0,22,0,34,0,74,0
109,german,3,4,3,2,2,2,2,1,1,2,1,power_1,power,q1_a_pos_v_pos,3, ,3, ,5,1,23,0,32,0,54,0
110,german,2,2,2,5,2,4,2,2,2,2,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,4,1,37,1,39,1,112,1
111,german,2,2,2,4,4,2,2,3,4,1,3,power_1,power,q1_a_pos_v_pos,1,0,1,0,3, ,19,0,33,0,76,0
112,german,4,1,1,2,1,4,2,3,1,4,1,power_1,power,q1_a_pos_v_pos,4,1,1,0,1,0,43,1,39,1,101,1
113,german,2,3,2,3,3,2,4,1,3,3,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,4,1,8,0,35,1,43,0
114,german,1,1,1,4,2,5,1,2,1,2,1,power_1,power,q1_a_pos_v_pos,3, ,1,0,2,0,37,1,39,1,118,1
115,german,2,4,2,2,2,2,2,4,2,4,2,power_1,power,q1_a_pos_v_pos,2,0,2,0,4,1,39,1,36,1,104,1
116,german,4,4,1,4,1,3,3,3,3,5,4,power_1,power,q1_a_pos_v_pos,5,1,1,0,4,1,40,1,36,1,90,1
117,german,2,4,1,1,3,3,3,3,4,2,2,power_1,power,q1_a_pos_v_pos,2,0,3, ,4,1,39,1,36,1,114,1
118,german,2,2,3,4,3,3,2,3,3,3,3,power_1,power,q1_a_pos_v_pos,3, ,2,0,2,0,39,1,28,0,79,0
119,german,3,4,2,3,1,3,2,4,1,2,2,power_1,power,q1_a_pos_v_pos,2,0,1,0,2,0,36,1,36,1,90,1
120,german,4,3,2,2,2,1,4,1,2,2,1,power_1,power,q1_a_pos_v_pos,1,0,1,0,2,0,32,1,36,1,92,1
